,node_ID,highway,osmid,y,x,geometry
12711,6230898519,,6230898519,0.3505806,32.5849094,POINT (32.5849094 0.3505806)
12712,6230898524,,6230898524,0.3511063,32.5849322,POINT (32.5849322 0.3511063)
12713,1313437533,,1313437533,0.3691117,32.5911033,POINT (32.5911033 0.3691117)
12714,6230898529,,6230898529,0.3519497,32.5847113,POINT (32.5847113 0.3519497)
12715,1313437542,,1313437542,0.3773915,32.5926416,POINT (32.5926416 0.3773915)
12716,6229292906,,6229292906,0.3211526,32.6255201,POINT (32.6255201 0.3211526)
12717,6230898546,,6230898546,0.3513581,32.5861043,POINT (32.5861043 0.3513581)
12718,3983308658,,3983308658,0.2854033,32.5795852,POINT (32.5795852 0.2854033)
12719,1313437557,,1313437557,0.3708805,32.5928266,POINT (32.5928266 0.3708805)
12720,3983308661,,3983308661,0.2861235,32.5794015,POINT (32.5794015 0.2861235)
12721,3242522487,,3242522487,0.3128179,32.5871694,POINT (32.5871694 0.3128179)
12722,1313437559,,1313437559,0.3730913,32.6061827,POINT (32.6061827 0.3730913)
12723,3983308663,,3983308663,0.2862067,32.5798121,POINT (32.5798121 0.2862067)
12724,3983308664,,3983308664,0.285978,32.5792882,POINT (32.5792882 0.285978)
12725,6230898555,,6230898555,0.3506078,32.5816388,POINT (32.5816388 0.3506078)
12726,3983308666,,3983308666,0.2859008,32.5790086,POINT (32.5790086 0.2859008)
12727,1313437568,,1313437568,0.3670162,32.5871121,POINT (32.5871121 0.3670162)
12728,4483872642,,4483872642,0.3446029,32.5960837,POINT (32.5960837 0.3446029)
12729,6230898562,,6230898562,0.3515506,32.5819897,POINT (32.5819897 0.3515506)
12730,5193529232,,5193529232,0.295507,32.6441078,POINT (32.6441078 0.295507)
12731,4483872658,,4483872658,0.3451614,32.5951143,POINT (32.5951143 0.3451614)
12732,556857235,,556857235,0.3013367,32.5760514,POINT (32.5760514 0.3013367)
12733,4483872660,,4483872660,0.3446414,32.5950023,POINT (32.5950023 0.3446414)
12734,1313437589,,1313437589,0.3760705,32.6048268,POINT (32.6048268 0.3760705)
12735,556857239,,556857239,0.3012161,32.5765074,POINT (32.5765074 0.3012161)
12736,556857250,,556857250,0.301672,32.5745997,POINT (32.5745997 0.301672)
12737,1313437607,,1313437607,0.3710307,32.604633,POINT (32.604633 0.3710307)
12738,2341566382,,2341566382,0.3317726,32.5625283,POINT (32.5625283 0.3317726)
12739,2341566384,,2341566384,0.3316903,32.5623316,POINT (32.5623316 0.3316903)
12740,5232064436,,5232064436,0.3272203,32.6548768,POINT (32.6548768 0.3272203)
12741,1313437629,,1313437629,0.371995,32.6044393,POINT (32.6044393 0.371995)
12742,6031767486,,6031767486,0.3410328,32.5882173,POINT (32.5882173 0.3410328)
12743,6031767487,,6031767487,0.3409444,32.5882977,POINT (32.5882977 0.3409444)
12744,4925126595,,4925126595,0.2990725,32.5371642,POINT (32.5371642 0.2990725)
12745,4925126599,,4925126599,0.2995188,32.5374297,POINT (32.5374297 0.2995188)
12746,1313437640,,1313437640,0.3798016,32.5982572,POINT (32.5982572 0.3798016)
12747,3406755788,,3406755788,0.3135189,32.5780807,POINT (32.5780807 0.3135189)
12748,6177847245,,6177847245,0.3677894,32.5931458,POINT (32.5931458 0.3677894)
12749,6177847246,,6177847246,0.3669177,32.5919811,POINT (32.5919811 0.3669177)
12750,3406755789,,3406755789,0.3135574,32.5779083,POINT (32.5779083 0.3135574)
12751,6177847248,,6177847248,0.3658897,32.5910383,POINT (32.5910383 0.3658897)
12752,1313437652,,1313437652,0.370212,32.600338,POINT (32.600338 0.370212)
12753,1313437654,,1313437654,0.369459,32.5914359,POINT (32.5914359 0.369459)
12754,5193529307,,5193529307,0.2875132,32.5911965,POINT (32.5911965 0.2875132)
12755,1313437660,,1313437660,0.3680462,32.5883098,POINT (32.5883098 0.3680462)
12756,6224213987,,6224213987,0.3754167,32.5653863,POINT (32.5653863 0.3754167)
12757,6221527016,,6221527016,0.2428626,32.6256093,POINT (32.6256093 0.2428626)
12758,5505710059,,5505710059,0.2612835,32.6351582,POINT (32.6351582 0.2612835)
12759,5505710060,,5505710060,0.2615629,32.6359019,POINT (32.6359019 0.2615629)
