baseline,flooded,
1707.657458,1801.978221,94.32076316
1643.987805,1700.170103,56.18229821
782.927441,860.8783947,77.95095369
1005.890812,1064.567477,58.67666495
844.93291,983.2471907,138.3142806
1399.005832,1454.21968,55.213848
802.5081487,900.2809849,97.77283617
1072.790398,1355.594899,282.8045005
1470.606205,1522.584497,51.97829277
810.0803881,898.6633266,88.58293848
775.1905854,882.6911624,107.5005771
1574.76674,1653.538919,78.772179
1098.714844,1188.407944,89.69310062
780.1731525,844.6618625,64.48870996
1197.713717,1248.284215,50.5704974
1669.929241,2416.936286,747.0070443
1376.349728,1463.183227,86.83349889
767.4175156,862.4846755,95.06715988
2195.211717,2381.351633,186.1399159
783.1740495,917.5302073,134.3561579
1203.268397,1831.369539,628.1011414
857.0774562,992.5216001,135.4441439
807.3987093,874.0302175,66.6315082
939.7750586,1014.759923,74.98486467
1366.474799,1415.584418,49.10961954
1627.429312,1677.702186,50.27287423
1461.228465,1516.662964,55.43449851
800.5304044,888.5118249,87.98142049
1003.57835,1068.733929,65.1555789
765.5597504,881.1383634,115.5786129
874.7074698,1044.710822,170.0033521
2310.129819,2493.638795,183.5089763
1160.19771,1225.893431,65.69572089
918.6807887,985.455428,66.77463934
937.6268493,1039.113526,101.486677
783.2605779,863.3544429,80.09386499
779.8573249,877.7357501,97.87842521
1561.261076,1637.810938,76.549862
808.6787941,872.1485784,63.46978429
1017.59923,1101.644303,84.04507327
941.0899477,1057.378728,116.2887807
1472.073331,1521.356937,49.28360614
1189.053693,1244.28435,55.23065661
1707.692558,1813.192159,105.4996014
1704.980998,1793.013678,88.03267948
1364.222102,1475.275285,111.0531824
948.0425778,1147.479134,199.4365557
780.0485142,857.9918795,77.94336529
1699.629448,1784.251607,84.62215899
881.5996405,947.3482214,65.74858083
893.6764456,970.1475142,76.47106866
807.0038176,890.6628705,83.6590529
998.9727172,1068.833164,69.86044703
1561.190616,2402.356444,841.1658286
1268.573596,1324.139647,55.56605023
815.3085304,903.4074352,88.09890477
874.1964662,939.7538738,65.55740763
1016.313769,1076.297762,59.9839934
812.6188976,986.1358092,173.5169115
827.4887028,968.8359506,141.3472478
1070.293439,1124.617056,54.32361668
1051.262849,1165.931096,114.6682473
773.170465,873.7974677,100.6270026
1343.841693,1399.155828,55.31413483
770.0540761,835.4687658,65.41468969
1148.184841,1205.510717,57.32587584
