,node_ID,y,highway,osmid,x,flood_depth,geometry
3233,560477303,0.3494358,,560477303,32.6091153,-32767.0,POINT (32.6091153 0.3494358)
3234,1806447738,0.1767688,,1806447738,32.55138,0.0,POINT (32.55138 0.1767688)
3235,560477311,0.3495195,,560477311,32.6092343,-32767.0,POINT (32.6092343 0.3495195)
3236,560477316,0.3502031,,560477316,32.6097591,0.3310546875,POINT (32.6097591 0.3502031)
3237,1806447750,0.0574948,,1806447750,32.4622405,0.0,POINT (32.4622405 0.0574948)
3238,6177830026,0.302932,,6177830026,32.4330166,0.0,POINT (32.4330166 0.302932)
3239,1806447755,0.0602695,,1806447755,32.4630617,0.0,POINT (32.4630617 0.0602695)
3240,6177830028,0.3043408,,6177830028,32.4318981,0.0,POINT (32.4318981 0.3043408)
3241,6177830031,0.3061097,,6177830031,32.4294788,0.0,POINT (32.4294788 0.3061097)
3242,6177830032,0.3059554,,6177830032,32.428886,0.0,POINT (32.428886 0.3059554)
3243,6177830033,0.3059434,,6177830033,32.4283093,0.0,POINT (32.4283093 0.3059434)
3244,4874974359,0.161038,,4874974359,32.5052029,0.0,POINT (32.5052029 0.161038)
3245,6177830039,0.3069908,,6177830039,32.4255694,0.0,POINT (32.4255694 0.3069908)
3246,1806447768,0.0602987,,1806447768,32.4665573,0.0,POINT (32.4665573 0.0602987)
3247,1806447772,0.1676706,,1806447772,32.5734811,0.0,POINT (32.5734811 0.1676706)
3248,6177830044,0.3088147,,6177830044,32.4247768,0.0,POINT (32.4247768 0.3088147)
3249,6177830046,0.3102925,,6177830046,32.4243906,0.0,POINT (32.4243906 0.3102925)
3250,560477350,0.3496952,,560477350,32.6111746,-32767.0,POINT (32.6111746 0.3496952)
3251,1806447786,0.0687397,,1806447786,32.4559146,0.0,POINT (32.4559146 0.0687397)
3252,6177830061,0.3183015,,6177830061,32.4223964,0.0,POINT (32.4223964 0.3183015)
3253,560477358,0.3511476,,560477358,32.6115268,-32767.0,POINT (32.6115268 0.3511476)
3254,1806447791,0.0622273,,1806447791,32.4525619,0.0,POINT (32.4525619 0.0622273)
3255,1735537840,0.2862011,,1735537840,32.5787491,-32767.0,POINT (32.5787491 0.2862011)
3256,560477364,0.3509328,,560477364,32.6115855,-32767.0,POINT (32.6115855 0.3509328)
3257,1806447799,0.0678831,,1806447799,32.4551956,0.0,POINT (32.4551956 0.0678831)
3258,5518977303,0.276884,,5518977303,32.5287574,-32767.0,POINT (32.5287574 0.276884)
3259,560477377,0.3506666,,560477377,32.6107137,-32767.0,POINT (32.6107137 0.3506666)
3260,1806447811,0.0654059,,1806447811,32.45321,0.0,POINT (32.45321 0.0654059)
3261,1806447814,0.0692159,,1806447814,32.4582252,0.0,POINT (32.4582252 0.0692159)
3262,1806447815,0.0637,,1806447815,32.4614241,0.0,POINT (32.4614241 0.06370000000000001)
3263,3985519826,0.4006276,,3985519826,32.6348636,-32767.0,POINT (32.6348636 0.4006276)
3264,560477395,0.3461699,,560477395,32.6143361,-32767.0,POINT (32.6143361 0.3461699)
3265,639120594,0.270315,,639120594,32.5995341,-32767.0,POINT (32.5995341 0.270315)
