,FID,geometry
371,371,"POLYGON ((106.813155764206 47.88230955147461, 106.8176473406266 47.88230955147461, 106.8176473406266 47.87562381583054, 106.813155764206 47.87562381583054, 106.813155764206 47.88230955147461))"
372,372,"POLYGON ((106.813155764206 47.87562381583054, 106.8176473406266 47.87562381583054, 106.8176473406266 47.86893808018647, 106.813155764206 47.86893808018647, 106.813155764206 47.87562381583054))"
373,373,"POLYGON ((106.813155764206 47.86893808018647, 106.8176473406266 47.86893808018647, 106.8176473406266 47.86225234454241, 106.813155764206 47.86225234454241, 106.813155764206 47.86893808018647))"
374,374,"POLYGON ((106.813155764206 47.86225234454241, 106.8176473406266 47.86225234454241, 106.8176473406266 47.85556660889834, 106.813155764206 47.85556660889834, 106.813155764206 47.86225234454241))"
375,375,"POLYGON ((106.813155764206 47.85556660889834, 106.8176473406266 47.85556660889834, 106.8176473406266 47.84888087325427, 106.813155764206 47.84888087325427, 106.813155764206 47.85556660889834))"
376,376,"POLYGON ((106.813155764206 47.84888087325427, 106.8176473406266 47.84888087325427, 106.8176473406266 47.8421951376102, 106.813155764206 47.8421951376102, 106.813155764206 47.84888087325427))"
377,377,"POLYGON ((106.813155764206 47.8421951376102, 106.8176473406266 47.8421951376102, 106.8176473406266 47.83550940196613, 106.813155764206 47.83550940196613, 106.813155764206 47.8421951376102))"
378,378,"POLYGON ((106.813155764206 47.83550940196613, 106.8176473406266 47.83550940196613, 106.8176473406266 47.82882366632206, 106.813155764206 47.82882366632206, 106.813155764206 47.83550940196613))"
379,379,"POLYGON ((106.813155764206 47.82882366632206, 106.8176473406266 47.82882366632206, 106.8176473406266 47.82213793067799, 106.813155764206 47.82213793067799, 106.813155764206 47.82882366632206))"
380,380,"POLYGON ((106.813155764206 47.82213793067799, 106.8176473406266 47.82213793067799, 106.8176473406266 47.81545219503392, 106.813155764206 47.81545219503392, 106.813155764206 47.82213793067799))"
381,381,"POLYGON ((106.813155764206 47.81545219503392, 106.8176473406266 47.81545219503392, 106.8176473406266 47.80876645938985, 106.813155764206 47.80876645938985, 106.813155764206 47.81545219503392))"
382,382,"POLYGON ((106.813155764206 47.80876645938985, 106.8176473406266 47.80876645938985, 106.8176473406266 47.80208072374578, 106.813155764206 47.80208072374578, 106.813155764206 47.80876645938985))"
383,383,"POLYGON ((106.813155764206 47.80208072374578, 106.8176473406266 47.80208072374578, 106.8176473406266 47.79539498810171, 106.813155764206 47.79539498810171, 106.813155764206 47.80208072374578))"
384,384,"POLYGON ((106.813155764206 47.79539498810171, 106.8176473406266 47.79539498810171, 106.8176473406266 47.78870925245764, 106.813155764206 47.78870925245764, 106.813155764206 47.79539498810171))"
385,385,"POLYGON ((106.8176473406266 48.02271000000007, 106.8221389170472 48.02271000000007, 106.8221389170472 48.016024264356, 106.8176473406266 48.016024264356, 106.8176473406266 48.02271000000007))"
386,386,"POLYGON ((106.8176473406266 48.016024264356, 106.8221389170472 48.016024264356, 106.8221389170472 48.00933852871193, 106.8176473406266 48.00933852871193, 106.8176473406266 48.016024264356))"
387,387,"POLYGON ((106.8176473406266 48.00933852871193, 106.8221389170472 48.00933852871193, 106.8221389170472 48.00265279306786, 106.8176473406266 48.00265279306786, 106.8176473406266 48.00933852871193))"
388,388,"POLYGON ((106.8176473406266 48.00265279306786, 106.8221389170472 48.00265279306786, 106.8221389170472 47.99596705742379, 106.8176473406266 47.99596705742379, 106.8176473406266 48.00265279306786))"
389,389,"POLYGON ((106.8176473406266 47.99596705742379, 106.8221389170472 47.99596705742379, 106.8221389170472 47.98928132177972, 106.8176473406266 47.98928132177972, 106.8176473406266 47.99596705742379))"
390,390,"POLYGON ((106.8176473406266 47.98928132177972, 106.8221389170472 47.98928132177972, 106.8221389170472 47.98259558613565, 106.8176473406266 47.98259558613565, 106.8176473406266 47.98928132177972))"
391,391,"POLYGON ((106.8176473406266 47.98259558613565, 106.8221389170472 47.98259558613565, 106.8221389170472 47.97590985049158, 106.8176473406266 47.97590985049158, 106.8176473406266 47.98259558613565))"
392,392,"POLYGON ((106.8176473406266 47.97590985049158, 106.8221389170472 47.97590985049158, 106.8221389170472 47.96922411484751, 106.8176473406266 47.96922411484751, 106.8176473406266 47.97590985049158))"
393,393,"POLYGON ((106.8176473406266 47.96922411484751, 106.8221389170472 47.96922411484751, 106.8221389170472 47.96253837920344, 106.8176473406266 47.96253837920344, 106.8176473406266 47.96922411484751))"
394,394,"POLYGON ((106.8176473406266 47.96253837920344, 106.8221389170472 47.96253837920344, 106.8221389170472 47.95585264355937, 106.8176473406266 47.95585264355937, 106.8176473406266 47.96253837920344))"
395,395,"POLYGON ((106.8176473406266 47.95585264355937, 106.8221389170472 47.95585264355937, 106.8221389170472 47.94916690791531, 106.8176473406266 47.94916690791531, 106.8176473406266 47.95585264355937))"
396,396,"POLYGON ((106.8176473406266 47.94916690791531, 106.8221389170472 47.94916690791531, 106.8221389170472 47.94248117227124, 106.8176473406266 47.94248117227124, 106.8176473406266 47.94916690791531))"
397,397,"POLYGON ((106.8176473406266 47.94248117227124, 106.8221389170472 47.94248117227124, 106.8221389170472 47.93579543662717, 106.8176473406266 47.93579543662717, 106.8176473406266 47.94248117227124))"
398,398,"POLYGON ((106.8176473406266 47.93579543662717, 106.8221389170472 47.93579543662717, 106.8221389170472 47.9291097009831, 106.8176473406266 47.9291097009831, 106.8176473406266 47.93579543662717))"
399,399,"POLYGON ((106.8176473406266 47.9291097009831, 106.8221389170472 47.9291097009831, 106.8221389170472 47.92242396533903, 106.8176473406266 47.92242396533903, 106.8176473406266 47.9291097009831))"
400,400,"POLYGON ((106.8176473406266 47.92242396533903, 106.8221389170472 47.92242396533903, 106.8221389170472 47.91573822969496, 106.8176473406266 47.91573822969496, 106.8176473406266 47.92242396533903))"
401,401,"POLYGON ((106.8176473406266 47.91573822969496, 106.8221389170472 47.91573822969496, 106.8221389170472 47.90905249405089, 106.8176473406266 47.90905249405089, 106.8176473406266 47.91573822969496))"
402,402,"POLYGON ((106.8176473406266 47.90905249405089, 106.8221389170472 47.90905249405089, 106.8221389170472 47.90236675840682, 106.8176473406266 47.90236675840682, 106.8176473406266 47.90905249405089))"
403,403,"POLYGON ((106.8176473406266 47.90236675840682, 106.8221389170472 47.90236675840682, 106.8221389170472 47.89568102276275, 106.8176473406266 47.89568102276275, 106.8176473406266 47.90236675840682))"
404,404,"POLYGON ((106.8176473406266 47.89568102276275, 106.8221389170472 47.89568102276275, 106.8221389170472 47.88899528711868, 106.8176473406266 47.88899528711868, 106.8176473406266 47.89568102276275))"
405,405,"POLYGON ((106.8176473406266 47.88899528711868, 106.8221389170472 47.88899528711868, 106.8221389170472 47.88230955147461, 106.8176473406266 47.88230955147461, 106.8176473406266 47.88899528711868))"
406,406,"POLYGON ((106.8176473406266 47.88230955147461, 106.8221389170472 47.88230955147461, 106.8221389170472 47.87562381583054, 106.8176473406266 47.87562381583054, 106.8176473406266 47.88230955147461))"
407,407,"POLYGON ((106.8176473406266 47.87562381583054, 106.8221389170472 47.87562381583054, 106.8221389170472 47.86893808018647, 106.8176473406266 47.86893808018647, 106.8176473406266 47.87562381583054))"
408,408,"POLYGON ((106.8176473406266 47.86893808018647, 106.8221389170472 47.86893808018647, 106.8221389170472 47.86225234454241, 106.8176473406266 47.86225234454241, 106.8176473406266 47.86893808018647))"
409,409,"POLYGON ((106.8176473406266 47.86225234454241, 106.8221389170472 47.86225234454241, 106.8221389170472 47.85556660889834, 106.8176473406266 47.85556660889834, 106.8176473406266 47.86225234454241))"
410,410,"POLYGON ((106.8176473406266 47.85556660889834, 106.8221389170472 47.85556660889834, 106.8221389170472 47.84888087325427, 106.8176473406266 47.84888087325427, 106.8176473406266 47.85556660889834))"
411,411,"POLYGON ((106.8176473406266 47.84888087325427, 106.8221389170472 47.84888087325427, 106.8221389170472 47.8421951376102, 106.8176473406266 47.8421951376102, 106.8176473406266 47.84888087325427))"
412,412,"POLYGON ((106.8176473406266 47.8421951376102, 106.8221389170472 47.8421951376102, 106.8221389170472 47.83550940196613, 106.8176473406266 47.83550940196613, 106.8176473406266 47.8421951376102))"
413,413,"POLYGON ((106.8176473406266 47.83550940196613, 106.8221389170472 47.83550940196613, 106.8221389170472 47.82882366632206, 106.8176473406266 47.82882366632206, 106.8176473406266 47.83550940196613))"
414,414,"POLYGON ((106.8176473406266 47.82882366632206, 106.8221389170472 47.82882366632206, 106.8221389170472 47.82213793067799, 106.8176473406266 47.82213793067799, 106.8176473406266 47.82882366632206))"
415,415,"POLYGON ((106.8176473406266 47.82213793067799, 106.8221389170472 47.82213793067799, 106.8221389170472 47.81545219503392, 106.8176473406266 47.81545219503392, 106.8176473406266 47.82213793067799))"
416,416,"POLYGON ((106.8176473406266 47.81545219503392, 106.8221389170472 47.81545219503392, 106.8221389170472 47.80876645938985, 106.8176473406266 47.80876645938985, 106.8176473406266 47.81545219503392))"
417,417,"POLYGON ((106.8176473406266 47.80876645938985, 106.8221389170472 47.80876645938985, 106.8221389170472 47.80208072374578, 106.8176473406266 47.80208072374578, 106.8176473406266 47.80876645938985))"
418,418,"POLYGON ((106.8176473406266 47.80208072374578, 106.8221389170472 47.80208072374578, 106.8221389170472 47.79539498810171, 106.8176473406266 47.79539498810171, 106.8176473406266 47.80208072374578))"
419,419,"POLYGON ((106.8176473406266 47.79539498810171, 106.8221389170472 47.79539498810171, 106.8221389170472 47.78870925245764, 106.8176473406266 47.78870925245764, 106.8176473406266 47.79539498810171))"
420,420,"POLYGON ((106.8221389170472 48.02271000000007, 106.8266304934677 48.02271000000007, 106.8266304934677 48.016024264356, 106.8221389170472 48.016024264356, 106.8221389170472 48.02271000000007))"
421,421,"POLYGON ((106.8221389170472 48.016024264356, 106.8266304934677 48.016024264356, 106.8266304934677 48.00933852871193, 106.8221389170472 48.00933852871193, 106.8221389170472 48.016024264356))"
422,422,"POLYGON ((106.8221389170472 48.00933852871193, 106.8266304934677 48.00933852871193, 106.8266304934677 48.00265279306786, 106.8221389170472 48.00265279306786, 106.8221389170472 48.00933852871193))"
423,423,"POLYGON ((106.8221389170472 48.00265279306786, 106.8266304934677 48.00265279306786, 106.8266304934677 47.99596705742379, 106.8221389170472 47.99596705742379, 106.8221389170472 48.00265279306786))"
424,424,"POLYGON ((106.8221389170472 47.99596705742379, 106.8266304934677 47.99596705742379, 106.8266304934677 47.98928132177972, 106.8221389170472 47.98928132177972, 106.8221389170472 47.99596705742379))"
425,425,"POLYGON ((106.8221389170472 47.98928132177972, 106.8266304934677 47.98928132177972, 106.8266304934677 47.98259558613565, 106.8221389170472 47.98259558613565, 106.8221389170472 47.98928132177972))"
426,426,"POLYGON ((106.8221389170472 47.98259558613565, 106.8266304934677 47.98259558613565, 106.8266304934677 47.97590985049158, 106.8221389170472 47.97590985049158, 106.8221389170472 47.98259558613565))"
427,427,"POLYGON ((106.8221389170472 47.97590985049158, 106.8266304934677 47.97590985049158, 106.8266304934677 47.96922411484751, 106.8221389170472 47.96922411484751, 106.8221389170472 47.97590985049158))"
428,428,"POLYGON ((106.8221389170472 47.96922411484751, 106.8266304934677 47.96922411484751, 106.8266304934677 47.96253837920344, 106.8221389170472 47.96253837920344, 106.8221389170472 47.96922411484751))"
429,429,"POLYGON ((106.8221389170472 47.96253837920344, 106.8266304934677 47.96253837920344, 106.8266304934677 47.95585264355937, 106.8221389170472 47.95585264355937, 106.8221389170472 47.96253837920344))"
430,430,"POLYGON ((106.8221389170472 47.95585264355937, 106.8266304934677 47.95585264355937, 106.8266304934677 47.94916690791531, 106.8221389170472 47.94916690791531, 106.8221389170472 47.95585264355937))"
431,431,"POLYGON ((106.8221389170472 47.94916690791531, 106.8266304934677 47.94916690791531, 106.8266304934677 47.94248117227124, 106.8221389170472 47.94248117227124, 106.8221389170472 47.94916690791531))"
432,432,"POLYGON ((106.8221389170472 47.94248117227124, 106.8266304934677 47.94248117227124, 106.8266304934677 47.93579543662717, 106.8221389170472 47.93579543662717, 106.8221389170472 47.94248117227124))"
433,433,"POLYGON ((106.8221389170472 47.93579543662717, 106.8266304934677 47.93579543662717, 106.8266304934677 47.9291097009831, 106.8221389170472 47.9291097009831, 106.8221389170472 47.93579543662717))"
434,434,"POLYGON ((106.8221389170472 47.9291097009831, 106.8266304934677 47.9291097009831, 106.8266304934677 47.92242396533903, 106.8221389170472 47.92242396533903, 106.8221389170472 47.9291097009831))"
435,435,"POLYGON ((106.8221389170472 47.92242396533903, 106.8266304934677 47.92242396533903, 106.8266304934677 47.91573822969496, 106.8221389170472 47.91573822969496, 106.8221389170472 47.92242396533903))"
436,436,"POLYGON ((106.8221389170472 47.91573822969496, 106.8266304934677 47.91573822969496, 106.8266304934677 47.90905249405089, 106.8221389170472 47.90905249405089, 106.8221389170472 47.91573822969496))"
437,437,"POLYGON ((106.8221389170472 47.90905249405089, 106.8266304934677 47.90905249405089, 106.8266304934677 47.90236675840682, 106.8221389170472 47.90236675840682, 106.8221389170472 47.90905249405089))"
438,438,"POLYGON ((106.8221389170472 47.90236675840682, 106.8266304934677 47.90236675840682, 106.8266304934677 47.89568102276275, 106.8221389170472 47.89568102276275, 106.8221389170472 47.90236675840682))"
439,439,"POLYGON ((106.8221389170472 47.89568102276275, 106.8266304934677 47.89568102276275, 106.8266304934677 47.88899528711868, 106.8221389170472 47.88899528711868, 106.8221389170472 47.89568102276275))"
440,440,"POLYGON ((106.8221389170472 47.88899528711868, 106.8266304934677 47.88899528711868, 106.8266304934677 47.88230955147461, 106.8221389170472 47.88230955147461, 106.8221389170472 47.88899528711868))"
441,441,"POLYGON ((106.8221389170472 47.88230955147461, 106.8266304934677 47.88230955147461, 106.8266304934677 47.87562381583054, 106.8221389170472 47.87562381583054, 106.8221389170472 47.88230955147461))"
442,442,"POLYGON ((106.8221389170472 47.87562381583054, 106.8266304934677 47.87562381583054, 106.8266304934677 47.86893808018647, 106.8221389170472 47.86893808018647, 106.8221389170472 47.87562381583054))"
443,443,"POLYGON ((106.8221389170472 47.86893808018647, 106.8266304934677 47.86893808018647, 106.8266304934677 47.86225234454241, 106.8221389170472 47.86225234454241, 106.8221389170472 47.86893808018647))"
444,444,"POLYGON ((106.8221389170472 47.86225234454241, 106.8266304934677 47.86225234454241, 106.8266304934677 47.85556660889834, 106.8221389170472 47.85556660889834, 106.8221389170472 47.86225234454241))"
445,445,"POLYGON ((106.8221389170472 47.85556660889834, 106.8266304934677 47.85556660889834, 106.8266304934677 47.84888087325427, 106.8221389170472 47.84888087325427, 106.8221389170472 47.85556660889834))"
446,446,"POLYGON ((106.8221389170472 47.84888087325427, 106.8266304934677 47.84888087325427, 106.8266304934677 47.8421951376102, 106.8221389170472 47.8421951376102, 106.8221389170472 47.84888087325427))"
447,447,"POLYGON ((106.8221389170472 47.8421951376102, 106.8266304934677 47.8421951376102, 106.8266304934677 47.83550940196613, 106.8221389170472 47.83550940196613, 106.8221389170472 47.8421951376102))"
448,448,"POLYGON ((106.8221389170472 47.83550940196613, 106.8266304934677 47.83550940196613, 106.8266304934677 47.82882366632206, 106.8221389170472 47.82882366632206, 106.8221389170472 47.83550940196613))"
449,449,"POLYGON ((106.8221389170472 47.82882366632206, 106.8266304934677 47.82882366632206, 106.8266304934677 47.82213793067799, 106.8221389170472 47.82213793067799, 106.8221389170472 47.82882366632206))"
450,450,"POLYGON ((106.8221389170472 47.82213793067799, 106.8266304934677 47.82213793067799, 106.8266304934677 47.81545219503392, 106.8221389170472 47.81545219503392, 106.8221389170472 47.82213793067799))"
451,451,"POLYGON ((106.8221389170472 47.81545219503392, 106.8266304934677 47.81545219503392, 106.8266304934677 47.80876645938985, 106.8221389170472 47.80876645938985, 106.8221389170472 47.81545219503392))"
452,452,"POLYGON ((106.8221389170472 47.80876645938985, 106.8266304934677 47.80876645938985, 106.8266304934677 47.80208072374578, 106.8221389170472 47.80208072374578, 106.8221389170472 47.80876645938985))"
453,453,"POLYGON ((106.8221389170472 47.80208072374578, 106.8266304934677 47.80208072374578, 106.8266304934677 47.79539498810171, 106.8221389170472 47.79539498810171, 106.8221389170472 47.80208072374578))"
454,454,"POLYGON ((106.8221389170472 47.79539498810171, 106.8266304934677 47.79539498810171, 106.8266304934677 47.78870925245764, 106.8221389170472 47.78870925245764, 106.8221389170472 47.79539498810171))"
455,455,"POLYGON ((106.8266304934677 48.02271000000007, 106.8311220698883 48.02271000000007, 106.8311220698883 48.016024264356, 106.8266304934677 48.016024264356, 106.8266304934677 48.02271000000007))"
456,456,"POLYGON ((106.8266304934677 48.016024264356, 106.8311220698883 48.016024264356, 106.8311220698883 48.00933852871193, 106.8266304934677 48.00933852871193, 106.8266304934677 48.016024264356))"
457,457,"POLYGON ((106.8266304934677 48.00933852871193, 106.8311220698883 48.00933852871193, 106.8311220698883 48.00265279306786, 106.8266304934677 48.00265279306786, 106.8266304934677 48.00933852871193))"
458,458,"POLYGON ((106.8266304934677 48.00265279306786, 106.8311220698883 48.00265279306786, 106.8311220698883 47.99596705742379, 106.8266304934677 47.99596705742379, 106.8266304934677 48.00265279306786))"
459,459,"POLYGON ((106.8266304934677 47.99596705742379, 106.8311220698883 47.99596705742379, 106.8311220698883 47.98928132177972, 106.8266304934677 47.98928132177972, 106.8266304934677 47.99596705742379))"
460,460,"POLYGON ((106.8266304934677 47.98928132177972, 106.8311220698883 47.98928132177972, 106.8311220698883 47.98259558613565, 106.8266304934677 47.98259558613565, 106.8266304934677 47.98928132177972))"
461,461,"POLYGON ((106.8266304934677 47.98259558613565, 106.8311220698883 47.98259558613565, 106.8311220698883 47.97590985049158, 106.8266304934677 47.97590985049158, 106.8266304934677 47.98259558613565))"
462,462,"POLYGON ((106.8266304934677 47.97590985049158, 106.8311220698883 47.97590985049158, 106.8311220698883 47.96922411484751, 106.8266304934677 47.96922411484751, 106.8266304934677 47.97590985049158))"
463,463,"POLYGON ((106.8266304934677 47.96922411484751, 106.8311220698883 47.96922411484751, 106.8311220698883 47.96253837920344, 106.8266304934677 47.96253837920344, 106.8266304934677 47.96922411484751))"
464,464,"POLYGON ((106.8266304934677 47.96253837920344, 106.8311220698883 47.96253837920344, 106.8311220698883 47.95585264355937, 106.8266304934677 47.95585264355937, 106.8266304934677 47.96253837920344))"
465,465,"POLYGON ((106.8266304934677 47.95585264355937, 106.8311220698883 47.95585264355937, 106.8311220698883 47.94916690791531, 106.8266304934677 47.94916690791531, 106.8266304934677 47.95585264355937))"
466,466,"POLYGON ((106.8266304934677 47.94916690791531, 106.8311220698883 47.94916690791531, 106.8311220698883 47.94248117227124, 106.8266304934677 47.94248117227124, 106.8266304934677 47.94916690791531))"
467,467,"POLYGON ((106.8266304934677 47.94248117227124, 106.8311220698883 47.94248117227124, 106.8311220698883 47.93579543662717, 106.8266304934677 47.93579543662717, 106.8266304934677 47.94248117227124))"
468,468,"POLYGON ((106.8266304934677 47.93579543662717, 106.8311220698883 47.93579543662717, 106.8311220698883 47.9291097009831, 106.8266304934677 47.9291097009831, 106.8266304934677 47.93579543662717))"
469,469,"POLYGON ((106.8266304934677 47.9291097009831, 106.8311220698883 47.9291097009831, 106.8311220698883 47.92242396533903, 106.8266304934677 47.92242396533903, 106.8266304934677 47.9291097009831))"
470,470,"POLYGON ((106.8266304934677 47.92242396533903, 106.8311220698883 47.92242396533903, 106.8311220698883 47.91573822969496, 106.8266304934677 47.91573822969496, 106.8266304934677 47.92242396533903))"
471,471,"POLYGON ((106.8266304934677 47.91573822969496, 106.8311220698883 47.91573822969496, 106.8311220698883 47.90905249405089, 106.8266304934677 47.90905249405089, 106.8266304934677 47.91573822969496))"
472,472,"POLYGON ((106.8266304934677 47.90905249405089, 106.8311220698883 47.90905249405089, 106.8311220698883 47.90236675840682, 106.8266304934677 47.90236675840682, 106.8266304934677 47.90905249405089))"
473,473,"POLYGON ((106.8266304934677 47.90236675840682, 106.8311220698883 47.90236675840682, 106.8311220698883 47.89568102276275, 106.8266304934677 47.89568102276275, 106.8266304934677 47.90236675840682))"
474,474,"POLYGON ((106.8266304934677 47.89568102276275, 106.8311220698883 47.89568102276275, 106.8311220698883 47.88899528711868, 106.8266304934677 47.88899528711868, 106.8266304934677 47.89568102276275))"
475,475,"POLYGON ((106.8266304934677 47.88899528711868, 106.8311220698883 47.88899528711868, 106.8311220698883 47.88230955147461, 106.8266304934677 47.88230955147461, 106.8266304934677 47.88899528711868))"
476,476,"POLYGON ((106.8266304934677 47.88230955147461, 106.8311220698883 47.88230955147461, 106.8311220698883 47.87562381583054, 106.8266304934677 47.87562381583054, 106.8266304934677 47.88230955147461))"
477,477,"POLYGON ((106.8266304934677 47.87562381583054, 106.8311220698883 47.87562381583054, 106.8311220698883 47.86893808018647, 106.8266304934677 47.86893808018647, 106.8266304934677 47.87562381583054))"
478,478,"POLYGON ((106.8266304934677 47.86893808018647, 106.8311220698883 47.86893808018647, 106.8311220698883 47.86225234454241, 106.8266304934677 47.86225234454241, 106.8266304934677 47.86893808018647))"
479,479,"POLYGON ((106.8266304934677 47.86225234454241, 106.8311220698883 47.86225234454241, 106.8311220698883 47.85556660889834, 106.8266304934677 47.85556660889834, 106.8266304934677 47.86225234454241))"
480,480,"POLYGON ((106.8266304934677 47.85556660889834, 106.8311220698883 47.85556660889834, 106.8311220698883 47.84888087325427, 106.8266304934677 47.84888087325427, 106.8266304934677 47.85556660889834))"
481,481,"POLYGON ((106.8266304934677 47.84888087325427, 106.8311220698883 47.84888087325427, 106.8311220698883 47.8421951376102, 106.8266304934677 47.8421951376102, 106.8266304934677 47.84888087325427))"
482,482,"POLYGON ((106.8266304934677 47.8421951376102, 106.8311220698883 47.8421951376102, 106.8311220698883 47.83550940196613, 106.8266304934677 47.83550940196613, 106.8266304934677 47.8421951376102))"
483,483,"POLYGON ((106.8266304934677 47.83550940196613, 106.8311220698883 47.83550940196613, 106.8311220698883 47.82882366632206, 106.8266304934677 47.82882366632206, 106.8266304934677 47.83550940196613))"
484,484,"POLYGON ((106.8266304934677 47.82882366632206, 106.8311220698883 47.82882366632206, 106.8311220698883 47.82213793067799, 106.8266304934677 47.82213793067799, 106.8266304934677 47.82882366632206))"
485,485,"POLYGON ((106.8266304934677 47.82213793067799, 106.8311220698883 47.82213793067799, 106.8311220698883 47.81545219503392, 106.8266304934677 47.81545219503392, 106.8266304934677 47.82213793067799))"
486,486,"POLYGON ((106.8266304934677 47.81545219503392, 106.8311220698883 47.81545219503392, 106.8311220698883 47.80876645938985, 106.8266304934677 47.80876645938985, 106.8266304934677 47.81545219503392))"
487,487,"POLYGON ((106.8266304934677 47.80876645938985, 106.8311220698883 47.80876645938985, 106.8311220698883 47.80208072374578, 106.8266304934677 47.80208072374578, 106.8266304934677 47.80876645938985))"
488,488,"POLYGON ((106.8266304934677 47.80208072374578, 106.8311220698883 47.80208072374578, 106.8311220698883 47.79539498810171, 106.8266304934677 47.79539498810171, 106.8266304934677 47.80208072374578))"
489,489,"POLYGON ((106.8266304934677 47.79539498810171, 106.8311220698883 47.79539498810171, 106.8311220698883 47.78870925245764, 106.8266304934677 47.78870925245764, 106.8266304934677 47.79539498810171))"
490,490,"POLYGON ((106.8311220698883 48.02271000000007, 106.8356136463089 48.02271000000007, 106.8356136463089 48.016024264356, 106.8311220698883 48.016024264356, 106.8311220698883 48.02271000000007))"
491,491,"POLYGON ((106.8311220698883 48.016024264356, 106.8356136463089 48.016024264356, 106.8356136463089 48.00933852871193, 106.8311220698883 48.00933852871193, 106.8311220698883 48.016024264356))"
492,492,"POLYGON ((106.8311220698883 48.00933852871193, 106.8356136463089 48.00933852871193, 106.8356136463089 48.00265279306786, 106.8311220698883 48.00265279306786, 106.8311220698883 48.00933852871193))"
493,493,"POLYGON ((106.8311220698883 48.00265279306786, 106.8356136463089 48.00265279306786, 106.8356136463089 47.99596705742379, 106.8311220698883 47.99596705742379, 106.8311220698883 48.00265279306786))"
494,494,"POLYGON ((106.8311220698883 47.99596705742379, 106.8356136463089 47.99596705742379, 106.8356136463089 47.98928132177972, 106.8311220698883 47.98928132177972, 106.8311220698883 47.99596705742379))"
495,495,"POLYGON ((106.8311220698883 47.98928132177972, 106.8356136463089 47.98928132177972, 106.8356136463089 47.98259558613565, 106.8311220698883 47.98259558613565, 106.8311220698883 47.98928132177972))"
496,496,"POLYGON ((106.8311220698883 47.98259558613565, 106.8356136463089 47.98259558613565, 106.8356136463089 47.97590985049158, 106.8311220698883 47.97590985049158, 106.8311220698883 47.98259558613565))"
497,497,"POLYGON ((106.8311220698883 47.97590985049158, 106.8356136463089 47.97590985049158, 106.8356136463089 47.96922411484751, 106.8311220698883 47.96922411484751, 106.8311220698883 47.97590985049158))"
498,498,"POLYGON ((106.8311220698883 47.96922411484751, 106.8356136463089 47.96922411484751, 106.8356136463089 47.96253837920344, 106.8311220698883 47.96253837920344, 106.8311220698883 47.96922411484751))"
499,499,"POLYGON ((106.8311220698883 47.96253837920344, 106.8356136463089 47.96253837920344, 106.8356136463089 47.95585264355937, 106.8311220698883 47.95585264355937, 106.8311220698883 47.96253837920344))"
500,500,"POLYGON ((106.8311220698883 47.95585264355937, 106.8356136463089 47.95585264355937, 106.8356136463089 47.94916690791531, 106.8311220698883 47.94916690791531, 106.8311220698883 47.95585264355937))"
501,501,"POLYGON ((106.8311220698883 47.94916690791531, 106.8356136463089 47.94916690791531, 106.8356136463089 47.94248117227124, 106.8311220698883 47.94248117227124, 106.8311220698883 47.94916690791531))"
502,502,"POLYGON ((106.8311220698883 47.94248117227124, 106.8356136463089 47.94248117227124, 106.8356136463089 47.93579543662717, 106.8311220698883 47.93579543662717, 106.8311220698883 47.94248117227124))"
503,503,"POLYGON ((106.8311220698883 47.93579543662717, 106.8356136463089 47.93579543662717, 106.8356136463089 47.9291097009831, 106.8311220698883 47.9291097009831, 106.8311220698883 47.93579543662717))"
504,504,"POLYGON ((106.8311220698883 47.9291097009831, 106.8356136463089 47.9291097009831, 106.8356136463089 47.92242396533903, 106.8311220698883 47.92242396533903, 106.8311220698883 47.9291097009831))"
505,505,"POLYGON ((106.8311220698883 47.92242396533903, 106.8356136463089 47.92242396533903, 106.8356136463089 47.91573822969496, 106.8311220698883 47.91573822969496, 106.8311220698883 47.92242396533903))"
506,506,"POLYGON ((106.8311220698883 47.91573822969496, 106.8356136463089 47.91573822969496, 106.8356136463089 47.90905249405089, 106.8311220698883 47.90905249405089, 106.8311220698883 47.91573822969496))"
507,507,"POLYGON ((106.8311220698883 47.90905249405089, 106.8356136463089 47.90905249405089, 106.8356136463089 47.90236675840682, 106.8311220698883 47.90236675840682, 106.8311220698883 47.90905249405089))"
508,508,"POLYGON ((106.8311220698883 47.90236675840682, 106.8356136463089 47.90236675840682, 106.8356136463089 47.89568102276275, 106.8311220698883 47.89568102276275, 106.8311220698883 47.90236675840682))"
509,509,"POLYGON ((106.8311220698883 47.89568102276275, 106.8356136463089 47.89568102276275, 106.8356136463089 47.88899528711868, 106.8311220698883 47.88899528711868, 106.8311220698883 47.89568102276275))"
510,510,"POLYGON ((106.8311220698883 47.88899528711868, 106.8356136463089 47.88899528711868, 106.8356136463089 47.88230955147461, 106.8311220698883 47.88230955147461, 106.8311220698883 47.88899528711868))"
511,511,"POLYGON ((106.8311220698883 47.88230955147461, 106.8356136463089 47.88230955147461, 106.8356136463089 47.87562381583054, 106.8311220698883 47.87562381583054, 106.8311220698883 47.88230955147461))"
512,512,"POLYGON ((106.8311220698883 47.87562381583054, 106.8356136463089 47.87562381583054, 106.8356136463089 47.86893808018647, 106.8311220698883 47.86893808018647, 106.8311220698883 47.87562381583054))"
513,513,"POLYGON ((106.8311220698883 47.86893808018647, 106.8356136463089 47.86893808018647, 106.8356136463089 47.86225234454241, 106.8311220698883 47.86225234454241, 106.8311220698883 47.86893808018647))"
