,FID,geometry
27,27,"POLYGON ((106.7682400000001 47.8421951376102, 106.7727315764207 47.8421951376102, 106.7727315764207 47.83550940196613, 106.7682400000001 47.83550940196613, 106.7682400000001 47.8421951376102))"
28,28,"POLYGON ((106.7682400000001 47.83550940196613, 106.7727315764207 47.83550940196613, 106.7727315764207 47.82882366632206, 106.7682400000001 47.82882366632206, 106.7682400000001 47.83550940196613))"
29,29,"POLYGON ((106.7682400000001 47.82882366632206, 106.7727315764207 47.82882366632206, 106.7727315764207 47.82213793067799, 106.7682400000001 47.82213793067799, 106.7682400000001 47.82882366632206))"
30,30,"POLYGON ((106.7682400000001 47.82213793067799, 106.7727315764207 47.82213793067799, 106.7727315764207 47.81545219503392, 106.7682400000001 47.81545219503392, 106.7682400000001 47.82213793067799))"
31,31,"POLYGON ((106.7682400000001 47.81545219503392, 106.7727315764207 47.81545219503392, 106.7727315764207 47.80876645938985, 106.7682400000001 47.80876645938985, 106.7682400000001 47.81545219503392))"
32,32,"POLYGON ((106.7682400000001 47.80876645938985, 106.7727315764207 47.80876645938985, 106.7727315764207 47.80208072374578, 106.7682400000001 47.80208072374578, 106.7682400000001 47.80876645938985))"
33,33,"POLYGON ((106.7682400000001 47.80208072374578, 106.7727315764207 47.80208072374578, 106.7727315764207 47.79539498810171, 106.7682400000001 47.79539498810171, 106.7682400000001 47.80208072374578))"
34,34,"POLYGON ((106.7682400000001 47.79539498810171, 106.7727315764207 47.79539498810171, 106.7727315764207 47.78870925245764, 106.7682400000001 47.78870925245764, 106.7682400000001 47.79539498810171))"
35,35,"POLYGON ((106.7727315764207 48.02271000000007, 106.7772231528412 48.02271000000007, 106.7772231528412 48.016024264356, 106.7727315764207 48.016024264356, 106.7727315764207 48.02271000000007))"
36,36,"POLYGON ((106.7727315764207 48.016024264356, 106.7772231528412 48.016024264356, 106.7772231528412 48.00933852871193, 106.7727315764207 48.00933852871193, 106.7727315764207 48.016024264356))"
37,37,"POLYGON ((106.7727315764207 48.00933852871193, 106.7772231528412 48.00933852871193, 106.7772231528412 48.00265279306786, 106.7727315764207 48.00265279306786, 106.7727315764207 48.00933852871193))"
38,38,"POLYGON ((106.7727315764207 48.00265279306786, 106.7772231528412 48.00265279306786, 106.7772231528412 47.99596705742379, 106.7727315764207 47.99596705742379, 106.7727315764207 48.00265279306786))"
