id,lat,leisure,lon,name,type
2279545458,47.922247,,106.9270749,Logarifm School,school
2280812914,47.9183163,,106.9251441,Burger King,fast_food
2280814504,47.9181159,,106.9257719,Багшийн дээд,bus_station
2280816142,47.9183131,,106.9249855,,atm
2280819114,47.9179274,,106.9262735,Багшийн дээд,bus_station
2280821636,47.9166527,,106.9283951,Xacbank,bank
2280863679,47.918044,,106.9343335,Сити номадс,restaurant
2280870223,47.9175245,,106.9335315,Koko Dessert,fast_food
2283239228,47.9160534,,106.8584009,Ачтан Эмнэлэг,hospital
2284052239,47.9131006,,106.8347878,119-р Цэцэрлэг,kindergarten
2284071473,47.9123617,,106.8378187,West Pub,pub
2284071479,47.9135087,,106.8314056,Номуун сургууль,school
2284071482,47.9122556,,106.8374701,UB city Bank,bank
2284071488,47.9126116,,106.8368639,Хөх Чоно pub,pub
2284095942,47.9151572,,106.8345116,Ирээдүй Цогцолбор 83-дугээр Сургууль,school
2284095948,47.9140822,,106.8360351,Ирээдүй Цогцолбор 82-дугээр дунд сургууль,school
2284095951,47.9147294,,106.8356864,Ромашка Дунд Сургууль,school
2284097712,47.9145748,,106.832752,Тольт Бүрэн Дунд Сургууль,school
2284097713,47.9151608,,106.8332617,Амар Агент Эмийн Сан,pharmacy
2284099782,47.9115336,,106.8327173,32-р байр,bus_station
2284099791,47.9141325,,106.8331007,118-дугаар Цэцэрлэг,kindergarten
2284099796,47.9110338,,106.8335702,32-н Автобусны  Буудал‎,bus_station
2285487972,47.9120223,,106.8142181,79-р цэцэрлэг,kindergarten
2285487975,47.9122956,,106.8135529,90-р цэцэрлэг,kindergarten
2285497048,47.9127513,,106.8134521,12-р сургууль,school
2285501352,47.9120007,,106.8122011,,kindergarten
2285667307,47.9204531,,106.9265869,Өгөөж цайны газар,fast_food
2286563006,47.9123381,,106.889256,Ganzam Tsagaan khool,restaurant
2286676740,47.9103988,,106.886568,Kindergarten #5,kindergarten
2286678745,47.9098649,,106.8898083,1-р цэцэрлэг,kindergarten
2286678746,47.9098541,,106.8912701,"BSB"" Store",marketplace
2286683548,47.9100626,,106.8939067,Orlenok school,school
2286865947,47.9089066,,106.8906532,Koko dessert,restaurant
2286866071,47.9086063,,106.8839718,Xacbank,bank
2289017876,47.9258332,,106.9398547,,kindergarten
2292497353,47.9172482,,106.966412,Цэргийн эмнэлэг,hospital
2292500916,47.9152887,,106.9661062,school #55,school
2292507217,47.9130955,,106.9735842,,atm
2292509128,47.9115206,,106.9748341,Донбоско сургууль,school
2292524465,47.9160294,,106.9653981,Xacbank,bank
2292524466,47.9176293,,106.964749,3-р төрөх,hospital
2292524467,47.9185247,,106.9639387,Баянзүрх дүүргийн нэгдсэн эмнэлэг,hospital
2292534376,47.9184062,,106.9477089,Худалдаа хөгжлийн банк,bank
2292534386,47.9182908,,106.9534945,,atm
2292534413,47.9185211,,106.9517454,Хаан банк (Жуковын салбар),bank
2292566284,47.9142281,,106.944332,Wen Zhou,restaurant
2292566288,47.9136169,,106.9440531,Халдварт,bus_station
2293161928,47.9220979,,106.9745123,Хас Банк,bank
2293161930,47.9206995,,106.974673,8-р цэцэрлэг,kindergarten
2293177131,47.9241048,,106.9839032,,atm
2293179511,47.9190673,,106.9782405,Цэцэрлэг - 21,kindergarten
2293181764,47.9213089,,106.9269004,Tseene,fast_food
2293181765,47.9211113,,106.9287062,этүгэн их сургууль,pharmacy
2293182131,47.9085182,,106.962842,Дэлгэрэх,restaurant
2293321275,47.9191644,,106.9157163,Броадвэй ресторан,restaurant
2293321283,47.9197414,,106.9153408,Indra Food Planet,fast_food
2293321286,47.9195311,,106.9158316,Budweiser Pub,pub
2293326568,47.9183052,,106.9156197,Голомт,atm
2293332639,47.9180014,,106.9139218,Mongolian dentist centre,dentist
2293332646,47.9178648,,106.9131332,Хадгаламж банк - Ард салбар,bank
2293341537,47.9145031,,106.9108426,Street Kara-Oke,fast_food
2293341555,47.914327,,106.9167241,Crown Restaurant Pub,restaurant
2293341567,47.9152046,,106.9173948,Veranda Restauran,restaurant
