id,type,name,lat,lon
2383139614,fuel,,47.9101856,106.5543988
2383144944,fuel,Сод Монгол Групп ШТС,47.9031258,106.6440633
2383144977,fuel,,47.9087626,106.6366643
2388467548,marketplace,Хермес Төв,47.9110488,106.8729799
2389085348,fuel,,47.9080147,106.803541
2389170353,marketplace,Барс 2 худалдааны төв,47.9100824,106.8316379
2389170529,fuel,MT ШТС,47.9110503,106.8350602
2450156383,fuel,,47.7876233,107.26314
2492506139,bank,Голомт банк,47.9223962,106.9241118
2492506153,bank,Кредит банк,47.9213097,106.9189514
2492506197,bank,Чингис хаан банк,47.9112357,106.9139371
2492506226,fuel,Петровис ШТС,47.9087699,106.9126933
2492506304,bank,Хас банк,47.9136511,106.9047765
2492506305,bank,Хаан банк,47.9135732,106.9040747
2498047525,bank,хаан банк АТМ,47.9208086,106.9237916
2499135934,bus_station,ТБД андууд-н автобусны буудал;ТБД андууд дэлгүүр,47.9149062,106.8863108
2511202420,atm,Хаан банк,47.9242786,106.9144998
2514667784,atm,,47.9255623,106.9216243
2520776802,bank,Has bank,47.9181574,106.9208573
2520777870,bank,Хаан банк,47.9224361,106.9105672
2521832301,atm,,47.9269125,106.9178703
2527571300,bank,Төрийн банк,47.9262772,106.9268993
2528889619,bus_station,Түвшин,47.9922931,106.8274564
2530405137,bus_station,11р хорооллын автобусны буудал,47.9268555,106.9268969
2531768538,bus_station,Парадокс Автобусны Буудал,47.9226234,106.8783658
2531768543,bus_station,Колонкын буудал,47.9285696,106.9376628
2531768737,bus_station,Ардын Эрх,47.9291708,106.9201037
2531768738,bus_station,Баян Бүрд,47.9281744,106.9085481
2531768739,bus_station,Баян Бүрд,47.9283771,106.9073638
2531768740,bus_station,Гандан,47.9245002,106.8939369
2531768741,bus_station,Гандан,47.9249932,106.8943414
2531768742,bus_station,Москва Ресторан,47.9230511,106.880993
2531768744,bus_station,Хүүхдийн 2,47.9300187,106.9290051
2531768745,bus_station,Өргөө Автобусны Буудал,47.9229828,106.8749595
